Cód. Item; Estoque de Abertura ; Vol. Recebido ; Vol. Disponível ; Vol. Total das Saídas ; Estoque Escritural ; Vl. Perda ; Vl. Ganho ; Estoque de Fechamento ; [1310] Tanque ;Estoque de Abertura ; Vol. Recebido ; Vol. Disponível ; Vol. Total das Saídas ; Estoque Escritural ;  Vl. Perda ; Vl. Ganho ; Vol. Aferido 
3;5.061,00; -   ;5.061,00;1.670,82;3.390,18;10,18;;3.380,00;2;5.061,00; -   ;5.061,00;1.670,82;3.390,18;10,18; -   ;3.380,00
782;4.850,00; -   ;4.850,00;393,5;4.456,50;1,5;;4.455,00;6;4.850,00; -   ;4.850,00;393,5;4.456,50;1,5; -   ;4.455,00
1;12.294,00;5.000,00;17.294,00;2.415,98;14.878,02;;21,98;14.900,00;3;12.294,00;5.000,00;17.294,00;2.415,98;14.878,02; -   ;21,98;14.900,00
2;8.776,00; -   ;8.776,00;1.692,34;7.083,66;;26,34;7.110,00;1;8.776,00; -   ;8.776,00;1.692,34;7.083,66; -   ;26,34;7.110,00
3;3.380,00;5.000,00;8.380,00;1.387,26;6.992,74;;6,26;6.999,00;2;3.380,00;5.000,00;8.380,00;1.387,26;6.992,74; -   ;6,26;6.999,00
782;4.455,00; -   ;4.455,00;425,24;4.029,76;;0,24;4.030,00;6;4.455,00; -   ;4.455,00;425,24;4.029,76; -   ;0,24;4.030,00
1;14.900,00;5.000,00;19.900,00;3.264,76;16.635,24;;34,76;16.670,00;3;14.900,00;5.000,00;19.900,00;3.264,76;16.635,24; -   ;34,76;16.670,00
2;7.110,00;5.000,00;12.110,00;1.312,13;10.797,87;;3,13;10.801,00;1;7.110,00;5.000,00;12.110,00;1.312,13;10.797,87; -   ;3,13;10.801,00
3;6.999,00; -   ;6.999,00;1.596,31;5.402,69;2,69;;5.400,00;2;6.999,00; -   ;6.999,00;1.596,31;5.402,69;2,69; -   ;5.400,00
782;4.030,00; -   ;4.030,00;705,01;3.324,99;;10,01;3.335,00;6;4.030,00; -   ;4.030,00;705,01;3.324,99; -   ;10,01;3.335,00
1;16.670,00; -   ;16.670,00;3.648,87;13.021,13;10,13;;13.011,00;3;16.670,00; -   ;16.670,00;3.648,87;13.021,13;10,13; -   ;13.011,00
2;7.910,00; -   ;7.910,00;654,361;7.255,64;5,639;;7.250,00;1;7.910,00; -   ;7.910,00;654,361;7.255,64;5,639; -   ;7.250,00
3;6.450,00; -   ;6.450,00;912,653;5.537,35;;24,653;5.562,00;2;6.450,00; -   ;6.450,00;912,653;5.537,35; -   ;24,653;5.562,00
782;2.210,00; -   ;2.210,00;142,4;2.067,60;2,6;;2.065,00;6;2.210,00; -   ;2.210,00;142,4;2.067,60;2,6; -   ;2.065,00
1;12.863,00; -   ;12.863,00;3.870,78;8.992,22;2,22;;8.970,00;3;12.863,00; -   ;12.863,00;3.870,78;8.992,22;2,22; -   ;8.970,00
2;7.250,00; -   ;7.250,00;875,179;6.374,82;4,21;;6.370,00;1;7.250,00; -   ;7.250,00;875,179;6.374,82;4,21; -   ;6.370,00
3;5.562,00;5.000,00;10.562,00;1.644,60;8.917,40;;29,6;8.947,00;2;5.562,00;5.000,00;10.562,00;1.644,60;8.917,40; -   ;29,6;8.947,00
782;2.065,00;5.000,00;7.065,00;836,35;6.228,65;;24,35;6.253,00;6;2.065,00;5.000,00;7.065,00;836,35;6.228,65; -   ;24,35;6.253,00
1;8.970,00; -   ;8.970,00;3.353,41;5.616,59;6,59;;5.610,00;3;8.970,00; -   ;8.970,00;3.353,41;5.616,59;6,59; -   ;5.610,00
2;6.370,00; -   ;6.370,00;1.024,38;5.345,62;0,62;;5.345,00;1;6.370,00; -   ;6.370,00;1.024,38;5.345,62;0,62; -   ;5.345,00
3;8.947,00; -   ;8.947,00;1.744,26;7.202,74;2,74;;7.200,00;2;8.947,00; -   ;8.947,00;1.744,26;7.202,74;2,74; -   ;7.200,00
782;6.253,00; -   ;6.253,00;337,67;5.915,33;;8,67;5.924,00;6;6.253,00; -   ;6.253,00;337,67;5.915,33; -   ;8,67;5.924,00
1;5.610,00;10.000,00;15.610,00;3.534,59;12.075,41;;36,59;12.112,00;3;5.610,00;10.000,00;15.610,00;3.534,59;12.075,41; -   ;36,59;12.112,00
2;5.345,00; -   ;5.345,00;1.175,15;4.169,85;;13,15;4.183,00;1;5.345,00; -   ;5.345,00;1.175,15;4.169,85; -   ;13,15;4.183,00
3;7.200,00; -   ;7.200,00;1.828,43;5.371,57;1,57; -   ;5.370,00;2;7.200,00; -   ;7.200,00;1.828,43;5.371,57;1,57; -   ;5.370,00
782;5.924,00; -   ;5.924,00;572,67;5.351,33;;4,67;5.356,00;6;5.924,00; -   ;5.924,00;572,67;5.351,33; -   ;4,67;5.356,00
